ITEM_NAME, FACT, ID_CUST
''LECH ENT FRESC 3.7'',''123-20191008-7-323'',''528218''
''Yogurt Bebible Nat'',''106-20200320-5-149'',''1502878''
''HELADO NAPOLITA'',''50-20200120-6-59'',''739731''
''HELADO NAPOLITA'',''20-20200102-3-249'',''740827''
''RON ABUELO ANEJO'',''20-20191129-4-190'',''740827''
''PH UNICO 2PL'',''193-20191002-7-183'',''429188''
''TENDER BLCO 2UN'',''123-20200321-10-164'',''528218''
''TENDER BLCO 2UN'',''123-20200229-11-155'',''528218''
''SODA SQUIRT 4/6PAC'',''50-20200301-11-427'',''626477''
''MALTA 1LT'',''78-20200120-11-197'',''702764''
''MALTA 1LT'',''78-20200201-11-74'',''702764''
''MALTA 1LT'',''78-20191124-11-171'',''702764''
''MALTA 1LT'',''78-20191014-8-91'',''702764''
''MALTA 1LT'',''78-20191016-8-51'',''702764''
''ATLAS GOLD LIGHT'',''50-20200321-4-22'',''422110''
''ATLAS GOLD LIGHT'',''123-20200314-4-223'',''528218''
''ATLAS GOLD LIGHT'',''50-20200223-6-139'',''422110''
''FABULOSO LAVANDA B'',''108-20191028-11-61'',''985035''
''FABULOSO BSCF BOTE'',''108-20191011-6-140'',''547897''
''PROTEX FRESH JABON'',''123-20200214-12-199'',''528218''
''PROTEX JABON LIMPI'',''123-20191106-3-88'',''528218''
''CALOX LORATADIN'',''50-20191027-48-336'',''419987''
''PIQUEO DE MARISCO'',''78-20200301-11-18'',''702764''
''PIQUEO DE MARISCO'',''78-20200120-11-197'',''702764''
''PIQUEO DE MARISCO'',''78-20200201-11-74'',''702764''
''PIQUEO DE MARISCO'',''20-20191206-2-76'',''740827''
''MUSLO'',''50-20200327-6-127'',''419987''
''SUAVIZANTE  FIRS'',''123-20200312-12-140'',''466902''
''RICA/CREMA ATOL'',''169-20191216-5-159'',''519849''
''RICAVENA HOJUEL500'',''106-20200208-10-255'',''1502878''
''CEBOLLINA CERR/PUN'',''78-20200105-8-8'',''702764''
''FIESTA SNAX'',''108-20200206-12-79'',''985035''
''HOJALDR EMPAN350GR'',''123-20200318-10-111'',''528218''
''HOJALDR EMPAN350GR'',''123-20200127-10-197'',''528218''
''HOJALDR EMPAN350GR'',''123-20200226-8-394'',''528218''
''HOJALDR EMPAN350GR'',''123-20200316-3-119'',''528218''
''HOJALDR EMPAN350GR'',''123-20191124-10-333'',''528218''
''HOJALDR EMPAN350GR'',''123-20200131-6-181'',''528218''
''HOJALDR EMPAN350GR'',''123-20191205-12-27'',''528218''
''HARINA 14OZ'',''78-20191204-9-137'',''702764''
''HARINA 14OZ'',''78-20191027-11-40'',''702764''
''HARINA 14OZ'',''78-20200105-8-8'',''702764''
''HARINA 14OZ'',''20-20191016-3-266'',''740827''
''HIGADO DE POLLO'',''20-20191117-5-132'',''740827''
''PECHUGA'',''50-20191010-1-143'',''425047''
''POLLO PANAMA'',''193-20200316-14-47'',''429188''
''POLLO PANAMA'',''108-20200311-4-237'',''547897''
''POLLO PANAMA'',''290-20191126-9-167'',''413808''
''POLLO PANAMA'',''290-20191107-7-229'',''413808''
''POLLO PANAMA'',''123-20200217-11-308'',''528218''
''POLLO PANAMA'',''108-20200116-18-381'',''547897''
''POLLO PANAMA'',''108-20200131-11-10'',''547897''
''POLLO PANAMA'',''123-20200112-7-328'',''528218''
''POLLO PANAMA'',''123-20191202-10-303'',''528218''
''POLLO PANAMA'',''123-20191124-10-333'',''528218''
''POLLO PANAMA'',''104-20191107-6-328'',''519849''
''POLLO PANAMA'',''54-20191202-7-200'',''413808''
''HUESO CERDO'',''50-20200322-17-140'',''419987''
''COSTILLA DE RES RE'',''108-20191125-18-438'',''985035''
''CHULETA ESPECIAL'',''104-20200128-3-58'',''528218''
''CHULETA ESPECIAL'',''123-20200120-10-668'',''528218''
''GALLINA DURA CHICA'',''20-20200122-3-168'',''740827''
''GRATED PARMESAN'',''123-20200208-14-93'',''1226904''
''CHAYOTE SUELTO'',''50-20200307-9-201'',''419987''
''CHAYOTE SUELTO'',''50-20191006-10-452'',''419987''
''CHAYOTE SUELTO'',''50-20191010-1-143'',''425047''
''CHAYOTE SUELTO'',''50-20191005-10-443'',''425047''
''ESPINACAS'',''123-20200208-14-93'',''1226904''
''ESPINACAS'',''193-20191002-7-183'',''429188''
''TOMATE 3X3 SUELTO'',''108-20200319-20-65'',''985035''
''TOMATE 3X3 SUELTO'',''78-20200308-6-30'',''702764''
''TOMATE 3X3 SUELTO'',''78-20200210-8-52'',''702764''
''TOMATE 3X3 SUELTO'',''50-20200307-9-201'',''419987''
''TOMATE 3X3 SUELTO'',''169-20191027-2-421'',''519849''
''TOMATE 3X3 SUELTO'',''20-20200229-3-140'',''740827''
''TOMATE 3X3 SUELTO'',''169-20191104-5-344'',''519849''
''SANDIA ENTERA CHIC'',''169-20200331-6-232'',''519849''
''OTOE'',''78-20191215-11-99'',''702764''
''OTOE'',''20-20191203-3-98'',''740827''
''PEPINOS'',''290-20191107-7-229'',''413808''
''PEPINOS'',''290-20191120-7-315'',''413808''
''PEPINOS'',''104-20191120-14-7'',''519849''
''PEPINOS'',''193-20191002-7-183'',''429188''
''PEPINOS'',''50-20191019-8-489'',''419987''
''PEPINOS'',''50-20191026-10-389'',''419987''
''PEPINOS'',''20-20191104-3-139'',''740827''
''PEPINOS'',''20-20191117-5-132'',''740827''
''AGUACATE'',''193-20191002-7-183'',''429188''
''PASITAS SUELTAS'',''50-20191209-8-553'',''419987''
''MANGO'',''123-20200227-8-108'',''1226904''
''MANGO'',''78-20200201-11-74'',''702764''
''MANGO'',''78-20191016-8-51'',''702764''
''PAPAS NACIONAL'',''78-20200324-7-4'',''702764''
''PAPAS NACIONAL'',''78-20200321-7-13'',''702764''
''PAPAS NACIONAL'',''108-20200301-16-229'',''547897''
''PAPAS NACIONAL'',''108-20191219-8-148'',''547897''
''PAPAS NACIONAL'',''78-20200308-6-30'',''702764''
''PAPAS NACIONAL'',''78-20200126-7-250'',''702764''
''PAPAS NACIONAL'',''50-20200302-6-155'',''419987''
''PAPAS NACIONAL'',''90-20200205-10-370'',''413808''
''PAPAS NACIONAL'',''78-20200120-11-197'',''702764''
''PAPAS NACIONAL'',''78-20200119-9-5'',''702764''
''PAPAS NACIONAL'',''108-20191223-2-303'',''547897''
''PAPAS NACIONAL'',''78-20200105-8-8'',''702764''
''PAPAS NACIONAL'',''108-20191231-13-252'',''547897''
''PAPAS NACIONAL'',''78-20191117-16-61'',''702764''
''PAPAS NACIONAL'',''78-20191111-7-205'',''702764''
''BROCOLI'',''193-20200205-5-133'',''429188''
''BROCOLI'',''123-20200227-8-108'',''1226904''
''BROCOLI'',''193-20191002-7-183'',''429188''
''MORTADELA'',''123-20200102-7-323'',''466902''
''RABITO DE PUERCO'',''20-20191220-7-57'',''740827''
''RABITO DE PUERCO'',''169-20191019-2-597'',''519849''
''RABITO DE PUERCO'',''123-20191217-6-133'',''528218''
''RABITO DE PUERCO'',''104-20191005-7-317'',''519849''
''Pan Franc?s'',''123-20191120-10-159'',''528218''
''Pan Rosquita'',''20-20191219-17-56'',''740827''
''Pan Rosquita'',''169-20191018-6-187'',''519849''
''PAPA COSECH MI TIE'',''169-20191030-2-533'',''519849''
''LECH COSECH DE MI'',''290-20191110-14-96'',''413808''
''ZANAH COS DE MI TI'',''290-20191119-9-118'',''413808''
''ZANAH COS DE MI TI'',''108-20191205-20-260'',''985035''
''Nivea  Roll On Acl'',''123-20200301-3-233'',''528218''
''Nivea  Roll On Acl'',''123-20191217-6-133'',''528218''
''VEDA GLUT MON16OZ'',''20-20191206-2-76'',''740827''
''VEDA GLUT MON16OZ'',''20-20191104-3-139'',''740827''
''VEDA GLUT MON16OZ'',''20-20191001-3-269'',''740827''
''ICE GREEN TEA L'',''108-20191016-12-46'',''547897''
''RUBI VEGTLES425G'',''78-20191014-8-91'',''702764''
''Detergente Limon'',''104-20191129-14-71'',''519849''
''HONGO ENTEROS CAM'',''123-20200208-3-67'',''466902''
''Sardina XTRA 5.5o'',''20-20200316-7-120'',''740827''
''RP TUNA ACEITE170G'',''104-20200322-6-54'',''519849''
''LOMOS DE TUNA C'',''78-20200308-6-30'',''702764''
''LOMOS DE TUNA C'',''78-20200201-11-74'',''702764''
''LOMOS DE TUNA C'',''78-20191201-17-19'',''702764''
